bnd_id,municipality,electricity demand (MWh/a_2017),VOLL (€/kWh),population,pop_employed,gross_wage(€/month),working_hours(h/a),net_wage(€/h),Total_Income(k€),Total_Tax_Collected(k€),SSC
06438,Offenbach,544578.259409495,11.202753477367832,351692,167630.0,3472.9324324324325,1656,15.212144451920143,8078767.0,1539265.0,0.205
06439,Rheingau-Taunus-Kreis,288944.281821397,11.352388947895648,186602,67727.0,3649.960043196544,1607,16.44040586828496,4471115.0,857574.0,0.205
06440,Wetteraukreis,472761.04528062,10.900960887318831,305312,122779.0,3441.735632183908,1631,15.463640733796963,6826434.0,1258313.0,0.205
06531,Gießen,413523.457015975,11.991496617222545,267056,138219.0,3308.1791808873722,1596,15.54214854154263,4983520.0,847961.0,0.205
06532,Lahn-Dill-Kreis,393560.810949794,11.63241235475543,254164,127844.0,3302.840637450199,1623,15.35452091729138,4911136.0,816420.0,0.205
06533,Limburg-Weilburg,266288.877338439,11.155292606863824,171971,77060.0,3275.962962962963,1615,15.243905029125123,3383057.0,570887.0,0.205
06534,Marburg-Biedenkopf,381174.74161351,12.30868783420744,246165,128364.0,3390.1039603960394,1596,15.912475637917366,4641985.0,792500.0,0.205
06535,Vogelsbergkreis,164834.287650558,10.784733089085993,106451,46843.0,3060.3536036036035,1608,14.786904661225433,1835463.0,270811.0,0.205
06611,Kassel,310830.105549243,13.461171569433535,200736,153540.0,3246.1349206349205,1612,15.078696480060175,3618184.0,618728.0,0.205
06631,Fulda,343420.379498584,11.187428820908874,221783,127407.0,3055.682926829268,1640,14.174016623573783,4248413.0,684255.0,0.205
06632,Hersfeld-Rotenburg,187519.112725764,10.70876819449414,121101,63145.0,2982.5273631840796,1642,14.049640278969902,2101669.0,316146.0,0.205
06633,Kassel,366478.381559668,11.34303340285174,236674,98242.0,3381.0803571428573,1625,15.912817188046384,4537874.0,715491.0,0.205
06634,Schwalm-Eder-Kreis,279888.933217997,11.217514931744564,180754,78748.0,3234.7975206611573,1613,15.451829655899312,3322595.0,508107.0,0.205
06635,Waldeck-Frankenberg,243503.402868702,11.364281873855516,157256,85887.0,3131.1170886075947,1646,14.690063601103816,2837872.0,429835.0,0.205
06636,Werra-Meißner-Kreis,156550.068254494,10.390390619681604,101101,42596.0,2955.4373040752353,1603,14.410904675770233,1591873.0,228655.0,0.205
07111,Koblenz,176281.994939363,13.869835411940675,113844,107650.0,3169.2176165803107,1646,14.248059269106902,2291163.0,408585.0,0.205
07131,Ahrweiler,199617.169948465,10.694332455347045,128914,53785.0,3147.125475285171,1602,14.870686399425134,2598914.0,426717.0,0.205
07132,Altenkirchen (Westerwald),199426.710324967,11.020309188307992,128791,55932.0,3130.0053003533567,1591,15.088790682690943,2302565.0,358870.0,0.205
07133,Bad Kreuznach,243957.099370206,11.110387511042862,157549,73823.0,3200.305598755832,1614,14.966105097288176,2982924.0,495213.0,0.205
07134,Birkenfeld,125003.451103834,10.404316156840624,80728,38730.0,2917.59726443769,1621,13.940208537503192,1342409.0,200791.0,0.205
07135,Cochem-Zell,95480.6610093727,10.91484430854923,61662,31247.0,3002.1964285714284,1613,14.32561958784332,1121188.0,172217.0,0.205
07137,Mayen-Koblenz,330678.16615088,11.021913303852369,213554,98366.0,3187.925328554361,1613,14.923047690093968,4225636.0,700526.0,0.205
07138,Neuwied,281284.088671428,10.758936226077664,181655,83876.0,3154.5510948905107,1622,14.597795505828836,3564796.0,604274.0,0.205
07140,Rhein-Hunsrück-Kreis,159394.57498918,11.341722241955566,102938,55874.0,3123.1681127982647,1632,14.626826127474146,2016219.0,318698.0,0.205
07141,Rhein-Lahn-Kreis,189501.131571925,10.67711027262923,122381,49809.0,3129.1779324055665,1598,14.935537552111871,2300499.0,366692.0,0.205
07143,Westerwaldkreis,311299.286572983,10.99627746455485,201039,100223.0,3094.71373200443,1605,14.474707732336737,4110297.0,696365.0,0.205
07211,Trier,170349.874470892,12.101703625353053,110013,80111.0,2942.8015873015875,1590,13.747129238386329,1738751.0,306079.0,0.205
07231,Bernkastel-Wittlich,173634.14163707,10.527586586220481,112134,58145.0,2941.957528957529,1636,13.811540611469484,2014197.0,312118.0,0.205
07232,Eifelkreis Bitburg-Prüm,152078.138232842,10.081264506246102,98213,42215.0,3049.6615853658536,1636,14.046475160377355,1485587.0,248183.0,0.205
07233,Vulkaneifel,93998.7922314224,10.971076653721282,60705,30841.0,3034.003401360544,1624,14.43771193960287,1075046.0,162330.0,0.205
07235,Trier-Saarburg,229994.705670334,10.288741618699843,148532,49354.0,3144.7516268980476,1576,15.093945658248815,2397167.0,394660.0,0.205
07311,Frankenthal (Pfalz),74971.4113082741,11.463168900999936,48417,22758.0,3360.4137931034484,1635,15.530037495518293,885279.0,146359.0,0.205
07312,Kaiserslautern,154355.911453704,12.9763226250764,99684,71770.0,3164.0220125786163,1599,14.853491522064322,1671609.0,283268.0,0.205
07313,Landau in der Pfalz,71680.9503332017,13.021606417552118,46292,32607.0,3236.990683229814,1587,14.984583835271266,951715.0,173966.0,0.205
07314,Ludwigshafen am Rhein,260909.55431378,13.37096561050564,168497,125390.0,3331.943298969072,1649,15.336682201658615,2878506.0,467704.0,0.205
07315,Mainz,333087.557810745,14.454609295482397,215110,157135.0,3709.375,1612,16.51336160392505,4908692.0,966895.0,0.205
07316,Neustadt an der Weinstraße,82614.5714837836,11.156126467391465,53353,28191.0,3204.522988505747,1613,14.434984109409383,1219141.0,231041.0,0.205
07317,Pirmasens,62916.7107478322,10.957199062134256,40632,27158.0,2754.514598540146,1629,13.05456695247441,573290.0,86931.0,0.205
07318,Speyer,78864.2201983128,13.705166818076409,50931,39671.0,3421.9285714285716,1620,15.269911658220533,1137122.0,218987.0,0.205
